Villa,Location,Bedrooms,Bathrooms,Property_type,Price_text,Raw_price_number,Period_days,Price_per_day_usd,Price_per_day_idr,Url,Agency
Uluwatu Modern Boho Villa Near Nyang Nyang Beach,"Jl. Batu Nunggul No.1, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",$258 per 2 nights,258.0,2,129.0,"2,138,046",https://www.bukitvista.com/property/uluwatu-modern-boho-villa-near-nyang-nyang-beach-2,Agus Weda
Bingin Beach Hideaway: Group Villa with Pool & BBQ,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",3,3,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",Starting from USD 161 per night,161.0,1,161.0,"2,668,414",https://www.bukitvista.com/property/bingin-beach-hideaway-group-villa-with-pool-amp-bbq,Bukit Vista
4-Bedroom Mediterranean Luxury Villa with Ubud Rooftop View,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",4,4,"Amazing pool, Amazing View, Jungle View, Pool view, Tropical, Villa",USD 202 / Night,202.0,30,6.73,"111,598",https://www.bukitvista.com/property/mediterranean-luxury-villa-ubud-rooftop,Bukit Vista
Luxurious 3-Bedroom Nusa Dua Seafront Villa w/ Private Beach,,3,4,"Beachfront, Villa",Starting from USD 715 per 2 nights,715.0,2,357.5,"5,925,205",https://www.bukitvista.com/property/nusa-dua-seafront-villa,Konang
Grand Villa Retreat w/ Pool & Garden in Ungasan,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2,"Amazing pool, Golfing, Pool view, Villa",Starting from USD 84 per night,84.0,1,84.0,"1,392,216",https://www.bukitvista.com/property/grand-villa-retreat-w-pool-amp-garden-in-ungasan,Bukit Vista
Surfer’s Villa 4 Mins to Bingin & Dreamland Beach by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2,"Pool view, Villa",Starting from USD 118 per night,118.0,1,118.0,"1,955,732",https://www.bukitvista.com/property/surfers-villa-4-mins-to-bingin-dreamland-beach-by-bukit-vista,Bukit Vista
Private Pool Villa Minutes from Bingin Surf Haven by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2,"Pool view, Villa",Starting from USD 165 per night,165.0,1,165.0,"2,734,710",https://www.bukitvista.com/property/private-pool-villa-minutes-from-bingin-surf-haven-by-bukit-vista,Bukit Vista
Ungasan Exquisite Villa w/ Rooftop & Private Pool by Bukit Vista,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",3,3,"Amazing pool, Golfing, Surfing, Tropical, Villa",Starting from USD 167 per night,167.0,1,167.0,"2,767,858",https://www.bukitvista.com/property/ungasan-exquisite-villa-w-rooftop-amp-private-pool-by-bukit-vista,Bukit Vista
Sun-Soaked Canggu Villa Perfect for Families,"Tibubeneng, Kuta Utara, Badung, Bali, Nusa Tenggara, Indonesia",2,2,Villa,Starting from USD 100 per night,100.0,1,100.0,"1,657,400",https://www.bukitvista.com/property/sun-soaked-canggu-villa-perfect-for-families,Bukit Vista
Sunny Exquisite Umalas Villa: 20 Minutes to Canggu,,2,2,"Guest House, Villa",Starting from USD 108 per night,108.0,1,108.0,"1,789,992",https://www.bukitvista.com/property/sunny-exquisite-umalas-villa-20-minutes-to-canggu,Bukit Vista
Ubud’s Verdant Hideaway w/ Pool & Garden Views,,1,1,Guest House,Starting from USD 34 per night,34.0,1,34.0,"563,516",https://www.bukitvista.com/property/ubuds-verdant-hideaway-w-pool-garden-views,Bukit Vista
Dazzling Villa with Pool and Rooftop in Bingin,,2,2,Villa,Starting from USD 202 per night,202.0,1,202.0,"3,347,948",https://www.bukitvista.com/property/dazzling-villa-with-pool-and-rooftop-in-bingin,Bukit Vista
Sun-Soaked 2BR Villa w/ Pool 15-Min Ride to Beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",2,2,Villa,Starting from USD 91 per night,91.0,1,91.0,"1,508,234",https://www.bukitvista.com/property/sun-soaked-2br-villa-w-pool-15-min-ride-to-beach,Bukit Vista
Voguish Penthouse with Rooftop Pool Near Canggu,"Denpasar, Bali, Nusa Tenggara, Indonesia",2,2,Villa,Starting from USD 89 per night,89.0,1,89.0,"1,475,086",https://www.bukitvista.com/property/voguish-penthouse-with-rooftop-pool-near-canggu,Bukit Vista
Artisanal Berawa Villa: 11 mins Ride to Beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",2,2,Villa,Starting from USD 73 per night,73.0,1,73.0,"1,209,902",https://www.bukitvista.com/property/artisanal-berawa-villa-11-mins-ride-to-beach,Bukit Vista
Ocean-View Eco Dorms at Nusa Lembongan Hilltop,,1,1,"Guest House, Ocean view",Starting from USD 28 per night,28.0,1,28.0,"464,072",https://www.bukitvista.com/property/ocean-view-eco-dorms-at-nusa-lembongan-hilltop,Bukit Vista
Eco Treehouse Stay with Lembongan Sea Views,,1,1,"Guest House, Ocean view",Starting from USD 18 per night,18.0,1,18.0,"298,332",https://www.bukitvista.com/property/eco-treehouse-stay-with-lembongan-sea-views,Bukit Vista
Eco-Friendly Lodge w/ Ocean View in Nusa Lembongan,,1,1,"Guest House, Ocean view",Starting from USD 18 per night,18.0,1,18.0,"298,332",https://www.bukitvista.com/property/eco-friendly-lodge-w-ocean-view-in-nusa-lembongan,Bukit Vista
